Feature,Subgroup Range,AUC >0,AUC >1,AUC >2,Spearman Corr >0,Spearman Corr >1,Spearman Corr >2,Max AUC,Max AUC,Mean AUC
VFA (Area),"None, NAFL, Probable NASH, NASH, Cirrhosis",0.731746032,0.702660407,0.620279146,0.296373639,0.330169021,0.095650219,0.731746032,0.702660407,0.684895195
SFA (Volume),NAFL,0.678571429,0.702614379,0.654545455,-0.08122479,-0.215433675,-0.098522447,0.702614379,0.702614379,0.678577087
BMI,"None, NAFL",0.648214286,0.608888889,0.702531646,0.237192058,0.098795209,0.108884859,0.702531646,0.702531646,0.653211607
Spleen_Vl_Nor_WH,"None, NAFL, Probable NASH",0.66627451,0.702222222,0.544,-0.229031982,-0.286623059,-0.018976803,0.702222222,0.702222222,0.637498911
DBP,"Others, None, NAFL, Probable NASH, NASH, Cirrhosis",0.6234319,0.612593691,0.702173913,0.186749166,0.177680778,0.152117374,0.702173913,0.702173913,0.646066501
VFA (Attenuation),"Others, None, NAFL, Probable NASH, NASH",0.705974843,0.702054098,0.590243902,-0.313158076,-0.3228417,-0.065834215,0.705974843,0.702054098,0.666090948
FIB-4,"Others, Cirrhosis",0.536796537,0.702040816,0.625,0.06215054,-0.202905351,-0.081789589,0.702040816,0.702040816,0.621279118
Smoking,"Others, Cirrhosis",0.564935065,0.659183673,0.701923077,0.201455741,0.293640068,0.242681336,0.701923077,0.701923077,0.642013938
Height,"Others, Cirrhosis",0.562770563,0.559183673,0.701923077,0.106098376,0.059480013,0.132217434,0.701923077,0.701923077,0.607959104
eGFR,"Others, None, NAFL, Probable NASH, NASH",0.616296047,0.544234289,0.701219512,-0.176813346,0.07067758,0.146792727,0.701219512,0.701219512,0.620583283
VFA (Attenuation),"None, NAFL, Probable NASH, NASH",0.770331815,0.70119225,0.578089888,-0.338246755,-0.332661123,-0.060707691,0.770331815,0.70119225,0.683204651
Weight,"Others, NAFL, Probable NASH",0.782738095,0.699388709,0.701171875,0.402734153,0.280256754,0.085791108,0.782738095,0.701171875,0.727766226
Spleen_Vl_Nor_WH,"Others, None, NAFL",0.502403846,0.700980392,0.566037736,-0.004160905,-0.15948318,-0.030842217,0.700980392,0.700980392,0.589807325
VFA (Attenuation),"None, NAFL, Probable NASH, NASH, Cirrhosis",0.77031746,0.700802034,0.577586207,-0.345701581,-0.32714141,-0.061699288,0.77031746,0.700802034,0.682901901
Alb,"Others, None, NAFL, Probable NASH, NASH, Cirrhosis",0.756765233,0.700766,0.564492754,0.388938918,0.31719803,0.048582353,0.756765233,0.700766,0.674007995
VFI,"Others, NAFL, Probable NASH, NASH",0.725825472,0.700242424,0.662430939,0.292152553,0.329872625,0.125334678,0.725825472,0.700242424,0.696166278
VFI,"Others, Probable NASH, NASH",0.788600063,0.7,0.639880952,0.421593395,0.344523935,0.114811863,0.788600063,0.7,0.709493672
Liver/Spleen HU,Cirrhosis,0.571428571,0.7,0.54,-0.102939527,0.269309251,0.036313652,0.7,0.7,0.603809524
Glucose,Cirrhosis,0.5,0.590909091,0.7,0,-0.122413296,-0.18156826,0.7,0.7,0.596969697
SMA (Area),Cirrhosis,0.619047619,0.627272727,0.7,-0.171565879,-0.171378614,0.18156826,0.7,0.7,0.648773449
SFA (Area),Cirrhosis,0.579365079,0.7,0.5,0.114377253,-0.269309251,0,0.7,0.7,0.593121693
VFI,NAFL,0.571428571,0.588235294,0.7,-0.032489916,0.093817891,0.127499638,0.7,0.7,0.619887955
VFA (Attenuation),"Others, None, NAFL, Probable NASH, NASH, Cirrhosis",0.702956989,0.699530516,0.585507246,-0.306912916,-0.314713674,-0.064303782,0.702956989,0.699530516,0.662664917
Sex,"Others, Probable NASH",0.628019324,0.698717949,,0.254203221,0.369992685,,0.698717949,0.698717949,0.663368636
Height,"Others, NASH",0.616864743,0.66614338,0.6984375,0.193500755,0.28608446,0.197740039,0.6984375,0.6984375,0.660481874
VFI,"Others, Probable NASH, NASH, Cirrhosis",0.785745423,0.698237179,0.6,0.416451194,0.336938416,0.08361065,0.785745423,0.698237179,0.694660867
TG,"NAFL, Probable NASH",0.62745098,0.523635478,0.698019802,0.043409909,0.036107604,0.094913921,0.698019802,0.698019802,0.616368753
VFA (Volume),"None, NAFL, Probable NASH, NASH, Cirrhosis",0.735555556,0.697965571,0.625205255,0.301245444,0.322520221,0.099567604,0.735555556,0.697965571,0.686242127
T.chol,"None, NAFL",0.615,0.697777778,0.57278481,0.18406,0.179465639,-0.039135137,0.697777778,0.697777778,0.628520863
eGFR,"None, NAFL, Probable NASH, NASH, Cirrhosis",0.596984127,0.553208138,0.697660099,-0.124030525,0.086685434,0.157186519,0.697660099,0.697660099,0.615950788
SFA (Volume),"Others, Probable NASH",0.652173913,0.696886447,,0.254512737,0.308770397,,0.696886447,0.696886447,0.67453018
AST,"Probable NASH, NASH, Cirrhosis",0.514919355,0.595652174,0.696774194,0.01358393,0.165630611,0.179161017,0.696774194,0.696774194,0.602448574
CAP,"NAFL, Probable NASH, NASH",0.552830189,0.696428571,0.646103896,-0.031545408,0.334549275,0.121420659,0.696428571,0.696428571,0.631787552
Weight,"None, NAFL",0.645714286,0.624444444,0.696202532,0.233239958,0.112932404,0.10550425,0.696202532,0.696202532,0.655453754
SFI,"None, NAFL, Probable NASH",0.64745098,0.588888889,0.696,0.203103833,0.125988158,-0.084533031,0.696,0.696,0.64411329
ALT,"Probable NASH, NASH, Cirrhosis",0.508467742,0.617725753,0.695967742,0.007709307,0.203840094,0.178415402,0.695967742,0.695967742,0.607387079
PT INR,"Others, Cirrhosis",0.591630592,0.695918367,0.5,0.154908808,-0.196936946,0,0.695918367,0.695918367,0.595849653
SFA (Volume),"Others, NAFL, Probable NASH",0.585784314,0.600862999,0.6953125,0.122165085,0.14174002,-0.083274137,0.6953125,0.6953125,0.627319938
SFI,"Others, NAFL",0.513392857,0.694444444,0.652439024,-0.021871994,-0.17348446,-0.080511923,0.694444444,0.694444444,0.620092109
Liver/Spleen Volume,"Others, None, NAFL",0.509615385,0.694444444,0.641509434,-0.016643622,0.154296735,0.066090465,0.694444444,0.694444444,0.615189754
LSM,"None, NAFL, Probable NASH, NASH",0.714703969,0.67858917,0.693258427,0.269327906,0.296040224,0.150623301,0.714703969,0.693258427,0.695517189
SMA (Attenuation),"NAFL, Probable NASH",0.852941176,0.624269006,0.693069307,0.119888157,0.189332587,0.092291731,0.852941176,0.693069307,0.723426496
TFI,"Others, NASH, Cirrhosis",0.698891199,0.693021767,0.66,0.321864391,0.324990752,0.156179431,0.698891199,0.693021767,0.683970989
Liver/Spleen Volume,"NAFL, Probable NASH",0.568627451,0.692982456,0.579207921,0.023311586,0.294022371,0.037863274,0.692982456,0.692982456,0.613605943
CAP,"NAFL, Probable NASH, NASH, Cirrhosis",0.552525253,0.69278169,0.628957169,0.042502139,0.323590399,0.108685768,0.69278169,0.69278169,0.624754704
VFI,"Others, NAFL, Probable NASH, NASH, Cirrhosis",0.742397661,0.692727795,0.624190939,0.318562884,0.312875023,0.098118938,0.742397661,0.692727795,0.686438798
HDL,"Others, Probable NASH, NASH",0.697776386,0.611261261,0.692460317,-0.290168178,-0.192491409,-0.158652658,0.697776386,0.692460317,0.667165988
HDL,"Others, NAFL, Probable NASH, NASH, Cirrhosis",0.610964912,0.546469292,0.692152104,-0.146648545,-0.075860889,-0.152662865,0.692152104,0.692152104,0.616528769
DBP,"None, NAFL, Probable NASH, NASH, Cirrhosis",0.627936508,0.602357199,0.692118227,0.163703661,0.16684855,0.152862457,0.692118227,0.692118227,0.640803978
SMA (Attenuation),"None, NAFL, Probable NASH",0.509803922,0.612592593,0.692,0.013504244,0.159585,0.082807867,0.692,0.692,0.604798838
FIB-4_C,"None, NAFL, Probable NASH",0.541372549,0.554814815,0.692,0.066036511,-0.090028826,-0.095956187,0.692,0.692,0.596062455
BMI,"Others, Probable NASH",0.76610306,0.691849817,,0.445067498,0.300876261,,0.76610306,0.691849817,0.728976438
Age,"Others, Probable NASH",0.508856683,0.691849817,,-0.014818284,-0.30098075,,0.691849817,0.691849817,0.60035325
Spleen (Volume),NASH,0.614035088,0.629370629,0.691037736,0.097796898,0.21522786,0.223419586,0.691037736,0.691037736,0.644814484
Waist to Height,"Others, None, NAFL, Probable NASH, NASH",0.687219227,0.690970104,0.625853659,0.284642592,0.305131713,0.09181204,0.690970104,0.690970104,0.66801433
Waist,"Others, NAFL, Probable NASH, NASH",0.716194969,0.690909091,0.646961326,0.2796936,0.314497342,0.113398091,0.716194969,0.690909091,0.684688462
T.bil,Cirrhosis,0.698412698,0.690909091,0.6,-0.286380555,-0.257461172,0.090923007,0.698412698,0.690909091,0.663107263
Waist,Cirrhosis,0.571428571,0.690909091,0.52,-0.102939527,-0.257067921,-0.018156826,0.690909091,0.690909091,0.594112554
Height,"Others, Probable NASH, NASH",0.636705293,0.690653153,0.637400794,0.199819521,0.328615922,0.112842483,0.690653153,0.690653153,0.654919747
SFA (Volume),"Others, NASH",0.657611771,0.684458399,0.690625,0.260821218,0.317442281,0.189847917,0.690625,0.690625,0.677565057
CAP,"NASH, Cirrhosis",0.58525641,0.690599174,0.601923077,0.093933913,0.330842856,0.112296934,0.690599174,0.690599174,0.62592622
VFI,"None, NAFL, Probable NASH, NASH",0.709390588,0.689766518,0.654494382,0.261995381,0.313769257,0.120105145,0.709390588,0.689766518,0.684550496
DBP,"Others, NAFL, Probable NASH, NASH, Cirrhosis",0.629239766,0.602424068,0.689724919,0.169930426,0.166355359,0.149966944,0.689724919,0.689724919,0.640462918
eGFR,"Others, Probable NASH, NASH, Cirrhosis",0.641346992,0.546394231,0.689403974,-0.206002723,0.078855313,0.158362462,0.689403974,0.689403974,0.625715065
Alb,"None, NAFL, Probable NASH, NASH",0.790826285,0.689145554,0.570505618,0.364707011,0.313444689,0.054934683,0.790826285,0.689145554,0.683492486
T.chol,"Others, NAFL",0.548469388,0.689102564,0.615853659,0.079169817,0.168748305,-0.061199906,0.689102564,0.689102564,0.617808537
Spleen_Vl_Nor_WH,"Others, NASH",0.567628749,0.556776557,0.6890625,0.111914311,0.097709184,0.188291787,0.6890625,0.6890625,0.604489269
Spleen (Volume),"Others, NAFL, Probable NASH, NASH",0.669418239,0.575878788,0.688950276,0.219177981,0.125000159,0.145797483,0.688950276,0.688950276,0.644749101
Spleen_Vl_Nor_BSA,NASH,0.609649123,0.601398601,0.688679245,0.094035478,0.168692107,0.22066132,0.688679245,0.688679245,0.633242323
Height,"Others, NASH, Cirrhosis",0.592169092,0.629801536,0.688571429,0.14922498,0.218646939,0.184152914,0.688571429,0.688571429,0.636847352
eGFR,"NASH, Cirrhosis",0.557692308,0.575154959,0.688461538,-0.063431507,0.130181759,0.20720959,0.688461538,0.688461538,0.607102935
Waist,"None, NAFL, Probable NASH, NASH",0.706137497,0.688400397,0.643258427,0.257925139,0.311510587,0.111370275,0.706137497,0.688400397,0.679265441
BMI,"Others, NASH",0.711092247,0.688383046,0.6,0.349325569,0.324199227,0.099593227,0.711092247,0.688383046,0.666491764
SMI,"Others, NASH",0.705149972,0.688121402,0.634375,0.339489018,0.323746099,0.13382722,0.705149972,0.688121402,0.675882125
SFA (Volume),"None, NAFL, Probable NASH",0.65254902,0.621481481,0.688,0.21012604,0.172183815,-0.081082703,0.688,0.688,0.654010167
T.chol,"Others, Cirrhosis",0.505050505,0.544897959,0.6875,-0.008532093,-0.045098674,-0.122707772,0.6875,0.6875,0.579149488
SFI,"Others, None, NAFL, Probable NASH",0.595965309,0.588218139,0.6875,0.157215399,0.116203898,-0.073538899,0.6875,0.6875,0.623894483
Alb,"None, NAFL, Probable NASH, NASH, Cirrhosis",0.798412698,0.687451095,0.550287356,0.382368001,0.305979528,0.040067423,0.798412698,0.687451095,0.67871705
AST,"None, NAFL, Probable NASH, NASH",0.593797441,0.660332837,0.687359551,0.117383776,0.265151374,0.145681821,0.687359551,0.687359551,0.647163276
TFI,"Others, None, NAFL, Probable NASH, NASH",0.689577718,0.686495831,0.661463415,0.288228371,0.297982727,0.117789865,0.689577718,0.686495831,0.679178988
TFI,"Others, Probable NASH, NASH",0.712496085,0.685585586,0.670634921,0.310419011,0.319693381,0.140054188,0.712496085,0.685585586,0.689572197
Height,"Others, NAFL, Probable NASH",0.706932773,0.685005394,0.609375,0.294860059,0.260131205,0.046660095,0.706932773,0.685005394,0.667104389
HDL,"Others, None, NAFL, Probable NASH, NASH, Cirrhosis",0.548790323,0.535005354,0.684782609,-0.07418814,-0.055517563,-0.139728285,0.684782609,0.684782609,0.589526095
Liver/Spleen Volume,"Others, None, NAFL, Probable NASH",0.548453997,0.68474774,0.605263158,0.079379877,0.243355931,0.041284996,0.68474774,0.68474774,0.612821632
Spleen_Vl_Nor_BSA,"Others, None, NAFL",0.541552198,0.684640523,0.523584906,0.071924222,-0.146517067,-0.011015078,0.684640523,0.684640523,0.583259209
VFI,"None, NAFL, Probable NASH, NASH, Cirrhosis",0.731587302,0.68437011,0.616995074,0.296170554,0.300370858,0.093038581,0.731587302,0.68437011,0.677650828
BMI,"Others, None, NAFL, Probable NASH",0.70974736,0.672645086,0.684210526,0.343622224,0.227415964,0.072249396,0.70974736,0.684210526,0.688867658
SFA (Area),"None, NAFL, Probable NASH",0.662745098,0.59962963,0.684,0.224170454,0.141211727,-0.079357539,0.684,0.684,0.648791576
Spleen_Vl_Nor_WH,NASH,0.583333333,0.537296037,0.683962264,0.071466964,0.062047671,0.215144787,0.683962264,0.683962264,0.601530545
고혈압유무,"Others, None, NAFL",0.522664835,0.602941176,0.683962264,0.065492436,0.136366511,0.143429858,0.683962264,0.683962264,0.603189425
DBP,"Others, None, NAFL, Probable NASH, NASH",0.638701707,0.622584909,0.683658537,0.210987369,0.195967561,0.134051021,0.683658537,0.683658537,0.648315051
고혈압유무,"Others, NAFL",0.526785714,0.602564103,0.682926829,0.072168784,0.150970271,0.159394178,0.682926829,0.682926829,0.604092215
VFA (Area),"Others, Cirrhosis",0.733044733,0.657142857,0.682692308,0.393620087,0.157815273,0.11953863,0.733044733,0.682692308,0.690959966
ALT,"NASH, Cirrhosis",0.513461538,0.648760331,0.682692308,0.014802314,0.257707725,0.200888553,0.682692308,0.682692308,0.614971392
HDL,"NAFL, Probable NASH, NASH, Cirrhosis",0.55530303,0.516784038,0.68226257,0.044851691,-0.028236674,-0.153961427,0.68226257,0.68226257,0.584783213
SBP,"Others, NASH",0.636955291,0.682103611,0.6359375,0.226787011,0.313595618,0.135472252,0.682103611,0.682103611,0.651665467
FIB-4_C,NAFL,0.928571429,0.506535948,0.681818182,-0.230446502,-0.008215276,-0.137020814,0.928571429,0.681818182,0.705641853
eGFR,"Others, NAFL, Probable NASH, NASH, Cirrhosis",0.650365497,0.535354987,0.681634304,-0.197613028,0.057395501,0.14350315,0.681634304,0.681634304,0.622451596
SFA (Volume),"Others, NAFL",0.536352041,0.681623932,0.646341463,0.059366841,-0.162045925,-0.077291446,0.681623932,0.681623932,0.621439145
Spleen_Vl_Nor_WH,"Others, NAFL",0.596938776,0.681623932,0.554878049,0.158311576,-0.162045925,-0.028984292,0.681623932,0.681623932,0.611146919
Spleen (Volume),"Others, None, NAFL, Probable NASH, NASH",0.57884097,0.560911125,0.681463415,0.119867486,0.097323693,0.13238015,0.681463415,0.681463415,0.607071837
Waist to Height,"Others, Probable NASH",0.735909823,0.681318681,,0.394562074,0.284355993,,0.735909823,0.681318681,0.708614252
eGFR,"Others, NASH",0.589417091,0.545525903,0.68125,-0.147971689,0.078348147,0.180512724,0.68125,0.68125,0.605397665
ALT,"None, NAFL, Probable NASH, NASH",0.57926697,0.613822653,0.681179775,0.099191359,0.188219497,0.140865208,0.681179775,0.681179775,0.624756466
SFA (Area),"Others, None, NAFL, Probable NASH",0.622737557,0.60338291,0.680921053,0.201075098,0.136179444,-0.070958587,0.680921053,0.680921053,0.635680507
BMI_C,"Others, NASH",0.704867006,0.680795395,0.57890625,0.359498177,0.329931746,0.083331229,0.704867006,0.680795395,0.654856217
VFA (Volume),"NASH, Cirrhosis",0.752564103,0.680785124,0.587179487,0.277686597,0.313149239,0.095851211,0.752564103,0.680785124,0.673509571
HDL,"Others, NASH",0.715336729,0.633699634,0.68046875,-0.357689108,-0.230956341,-0.180410299,0.715336729,0.68046875,0.676501704
LSM,"None, NAFL, Probable NASH, NASH, Cirrhosis",0.654365079,0.607687793,0.680418719,0.197928124,0.175899689,0.143849518,0.680418719,0.680418719,0.647490531
고혈압유무,"None, NAFL",0.520357143,0.6,0.680379747,0.05294143,0.147441956,0.157590903,0.680379747,0.680379747,0.60024563
VFA (Attenuation),"Others, NAFL, Probable NASH, NASH, Cirrhosis",0.667105263,0.680272109,0.566747573,-0.219612474,-0.292654499,-0.05273495,0.680272109,0.680272109,0.638041648
SMI,Cirrhosis,0.642857143,0.618181818,0.68,-0.205879055,-0.159137285,0.163411434,0.68,0.68,0.647012987
Height,"Probable NASH, NASH",0.672330097,0.679964539,0.602272727,0.113312876,0.309585787,0.093237785,0.679964539,0.679964539,0.651522454
VFA (Volume),"NAFL, Probable NASH, NASH",0.568553459,0.679808287,0.644805195,0.04082891,0.305456631,0.120032638,0.679808287,0.679808287,0.631055647
VFA (Area),"NAFL, Probable NASH, NASH, Cirrhosis",0.666666667,0.679694836,0.596834264,0.134506897,0.300828239,0.081397189,0.679694836,0.679694836,0.647731922
CAP,"Probable NASH, NASH, Cirrhosis",0.601209677,0.679598662,0.569354839,0.092273902,0.3114084,0.063231518,0.679598662,0.679598662,0.616721059
Alb,"Others, NASH, Cirrhosis",0.672557173,0.679577465,0.579047619,0.279799599,0.302951605,0.077312435,0.679577465,0.679577465,0.643727419
AST,"NAFL, Probable NASH, NASH",0.627044025,0.655534941,0.679545455,0.075680853,0.264278106,0.148861704,0.679545455,0.679545455,0.654041474
Waist,"Others, None, NAFL, Probable NASH, NASH, Cirrhosis",0.700089606,0.67935096,0.640217391,0.30257684,0.282885047,0.105447304,0.700089606,0.67935096,0.673219319
VFA (Volume),"NAFL, Probable NASH, NASH, Cirrhosis",0.748989899,0.679225352,0.607541899,0.200945152,0.300042274,0.090397839,0.748989899,0.679225352,0.678585717
CAP,Probable NASH,,0.679047619,,,0.309246846,,0.679047619,0.679047619,0.679047619
TFI,"Others, Probable NASH, NASH, Cirrhosis",0.718613775,0.678846154,0.635099338,0.318612164,0.303980009,0.112957434,0.718613775,0.678846154,0.677519756
BMI,"Others, Cirrhosis",0.615440115,0.663265306,0.677884615,0.194989519,-0.16397017,-0.116397314,0.677884615,0.677884615,0.652196679
SFA (Volume),"Others, None, NAFL, Probable NASH",0.621606335,0.625838437,0.677631579,0.199221871,0.165758618,-0.06966843,0.677631579,0.677631579,0.641692117
VFA (Attenuation),"NAFL, Probable NASH, NASH, Cirrhosis",0.793434343,0.677464789,0.554934823,-0.23681376,-0.297095032,-0.046177271,0.793434343,0.677464789,0.675277985
HDL,"Probable NASH, NASH",0.734223301,0.564539007,0.67739899,-0.15441311,-0.111314643,-0.162150838,0.734223301,0.67739899,0.658720433
Alb,"Others, NASH",0.691284663,0.677394035,0.58984375,0.317226559,0.305942964,0.089670372,0.691284663,0.677394035,0.652840816
Spleen_Vl_Nor_WH,"NAFL, Probable NASH",0.529411765,0.677387914,0.52970297,0.00999068,-0.270262987,-0.014198728,0.677387914,0.677387914,0.578834216
Liver/Spleen Volume,"None, NAFL, Probable NASH, NASH, Cirrhosis",0.646666667,0.677327856,0.577175698,0.187567918,0.288897807,0.061372818,0.677327856,0.677327856,0.633723407
고혈압유무,NAFL,0.580357143,0.598039216,0.677272727,0.057863756,0.16502459,0.178906612,0.677272727,0.677272727,0.618556362
TG,"Others, NASH",0.66270515,0.677132391,0.590625,0.269525358,0.305146496,0.0903479,0.677132391,0.677132391,0.643487514
PLT,NASH,0.717105263,0.612470862,0.676886792,0.186197632,0.187119931,0.206878193,0.717105263,0.676886792,0.668820973
Spleen_Vl_Nor_BSA,"Others, NAFL, Probable NASH, NASH",0.609080189,0.532242424,0.67679558,0.141118074,0.053115084,0.136418698,0.67679558,0.67679558,0.606039398
VFA (Attenuation),"Others, NAFL, Probable NASH, NASH",0.646422956,0.676606061,0.564088398,-0.189428766,-0.290934876,-0.049451778,0.676606061,0.676606061,0.629039138
SFA (Volume),"Others, Probable NASH, NASH",0.658628249,0.676576577,0.661706349,0.231727677,0.304174285,0.132725771,0.676576577,0.676576577,0.665637058
DBP,"NAFL, Probable NASH, NASH, Cirrhosis",0.657828283,0.587852113,0.676443203,0.127436961,0.147146517,0.148388433,0.676443203,0.676443203,0.640707866
Spleen_Vl_Nor_WH,"Others, None, NAFL, Probable NASH",0.559766214,0.676290464,0.549342105,-0.097912145,-0.232215723,-0.019352342,0.676290464,0.676290464,0.595132928
VFA (Area),"NAFL, Probable NASH, NASH",0.544654088,0.676252319,0.611688312,0.026594978,0.299415786,0.092581228,0.676252319,0.676252319,0.610864906
FIB-4,Probable NASH,,0.676190476,,,-0.304086765,,0.676190476,0.676190476,0.676190476
TG,NASH,0.820175439,0.675990676,0.561320755,0.274681663,0.292892017,0.071740542,0.820175439,0.675990676,0.685828956
SFA (Area),"Others, Probable NASH",0.647342995,0.675824176,,0.246432967,0.275739145,,0.675824176,0.675824176,0.661583585
Waist to Height,"Others, Probable NASH, NASH",0.708737864,0.675675676,0.60218254,0.304928918,0.302622375,0.083869659,0.708737864,0.675675676,0.662198693
VFI,"NAFL, Probable NASH",0.568627451,0.675438596,0.628712871,0.023311586,0.267293064,0.06152782,0.675438596,0.675438596,0.62425964
FIB-4_C,Probable NASH,,0.675238095,,,-0.333958573,,0.675238095,0.675238095,0.675238095
HDL,"None, NAFL, Probable NASH, NASH, Cirrhosis",0.551428571,0.508118153,0.675082102,0.066093856,-0.013290889,-0.139915796,0.675082102,0.675082102,0.578209609
eGFR,"Others, None, NAFL",0.639766484,0.674836601,0.566037736,-0.241926927,-0.1387374,0.030842217,0.674836601,0.674836601,0.626880274
eGFR,"Others, None, NAFL, Probable NASH, NASH, Cirrhosis",0.6265681,0.524380199,0.674818841,-0.191397371,0.038454227,0.131468705,0.674818841,0.674818841,0.608589047
T.bil,"Others, Probable NASH",0.642512077,0.674450549,,-0.238986305,-0.274311621,,0.674450549,0.674450549,0.658481313
ALT,"NAFL, Probable NASH, NASH",0.674213836,0.612631416,0.674350649,0.103769519,0.19135867,0.144539824,0.674350649,0.674350649,0.653731967
Weight,Probable NASH,,0.674285714,,,0.300873571,,0.674285714,0.674285714,0.674285714
Waist,Probable NASH,,0.674285714,,,0.30079934,,0.674285714,0.674285714,0.674285714
VFA (Volume),Probable NASH,,0.674285714,,,0.30079934,,0.674285714,0.674285714,0.674285714
TFI,"Others, None, NAFL, Probable NASH, NASH, Cirrhosis",0.696146953,0.6739972,0.63115942,0.296614672,0.274440659,0.098635442,0.696146953,0.6739972,0.667101191
Alb,"Others, NAFL, Probable NASH, NASH",0.701159591,0.673878788,0.556077348,0.26083786,0.287097831,0.043369367,0.701159591,0.673878788,0.643705242
BMI_C,"Others, None, NAFL, Probable NASH",0.678073152,0.673665792,0.554276316,0.313554553,0.245873051,0.022880213,0.678073152,0.673665792,0.63533842
TFI,"None, NAFL, Probable NASH, NASH",0.703318152,0.673621461,0.646629213,0.254397379,0.287074228,0.113990701,0.703318152,0.673621461,0.674522942
Waist,"Others, Probable NASH, NASH, Cirrhosis",0.68809939,0.673557692,0.618543046,0.274139878,0.294991353,0.099114611,0.68809939,0.673557692,0.660066709
Liver/Spleen HU,"Others, Cirrhosis",0.578643579,0.673469388,0.509615385,-0.132831546,0.174211665,0.006291507,0.673469388,0.673469388,0.587242784
SMA (Area),"Others, NASH, Cirrhosis",0.655232155,0.651408451,0.673333333,0.251211232,0.25492641,0.169194383,0.673333333,0.673333333,0.659991313
Sex,Probable NASH,,0.673333333,,,0.345680415,,0.673333333,0.673333333,0.673333333
Waist to Height,"None, NAFL, Probable NASH, NASH",0.674474084,0.673248882,0.605617978,0.218306871,0.286458189,0.082108244,0.674474084,0.673248882,0.651113648
Alb,"Others, NAFL, Probable NASH, NASH, Cirrhosis",0.716081871,0.673229855,0.537216828,0.28453413,0.281772477,0.029461278,0.716081871,0.673229855,0.642176185
SMI,"Others, Probable NASH, NASH",0.713122455,0.673198198,0.597222222,0.311334027,0.298354624,0.079798316,0.713122455,0.673198198,0.661180959
FIB-4,"NASH, Cirrhosis",0.648717949,0.67303719,0.591025641,-0.16351089,-0.299728558,-0.100079941,0.67303719,0.67303719,0.637593593
LDL,"None, NAFL, Probable NASH, NASH, Cirrhosis",0.536825397,0.559174491,0.673029557,-0.051173112,-0.104753628,-0.149514412,0.673029557,0.673029557,0.589676482
TG,NAFL,0.642857143,0.526143791,0.672727273,0.065157454,-0.027873879,0.110414317,0.672727273,0.672727273,0.613909402
BMI,NAFL,0.607142857,0.565359477,0.672727273,0.048735664,0.06949586,0.110115108,0.672727273,0.672727273,0.615076536
ALT,"Others, NASH",0.531975099,0.591836735,0.67265625,-0.052918587,0.158061042,0.171969075,0.67265625,0.67265625,0.598822695
Height,NASH,0.666666667,0.672494172,0.663915094,0.143000111,0.287103359,0.191788286,0.672494172,0.672494172,0.667691978
SMA (Area),"Others, Probable NASH, NASH, Cirrhosis",0.671752398,0.672275641,0.627152318,0.250315439,0.292812285,0.106312879,0.672275641,0.672275641,0.657060119
Height,"Others, None, NAFL, Probable NASH",0.613782051,0.672061826,0.611842105,0.186523882,0.226791722,0.043893585,0.672061826,0.672061826,0.632561994
T.chol,"Others, NAFL, Probable NASH",0.590511204,0.649406688,0.671875,0.1289204,0.20999586,-0.073294754,0.671875,0.671875,0.637264298
VFA (Volume),"Probable NASH, NASH, Cirrhosis",0.783064516,0.671794872,0.566935484,0.257687998,0.297433127,0.060934769,0.783064516,0.671794872,0.673931624
T.chol,NAFL,0.803571429,0.671568627,0.645454545,-0.138120197,0.18247395,-0.092752564,0.803571429,0.671568627,0.706864867
SFI,"Others, None, NAFL",0.538118132,0.671568627,0.641509434,0.065980071,-0.136144178,-0.066090465,0.671568627,0.671568627,0.617065398
DBP,"None, NAFL, Probable NASH, NASH",0.650726524,0.610034774,0.671348315,0.188703538,0.182043274,0.133285418,0.671348315,0.671348315,0.644036537
SFA (Volume),NASH,0.684210526,0.671328671,0.650943396,0.157979604,0.285031491,0.176529056,0.684210526,0.671328671,0.668827531
SFI,"None, NAFL",0.586428571,0.671111111,0.639240506,0.138312062,-0.155246984,-0.074857073,0.671111111,0.671111111,0.632260063
LDL,"Others, None, NAFL, Probable NASH, NASH, Cirrhosis",0.51218638,0.552961041,0.670833333,-0.020134423,-0.091267492,-0.140365226,0.670833333,0.670833333,0.578660251
Smoking,Cirrhosis,0.511904762,0.631818182,0.67,0.02548236,0.263636364,0.229227953,0.67,0.67,0.604574315
Height,Cirrhosis,0.523809524,0.504545455,0.67,-0.034328898,0.006123469,0.154403735,0.67,0.67,0.566118326
PLT,"Others, Probable NASH, NASH, Cirrhosis",0.537380122,0.669951923,0.633112583,0.054480313,0.288872069,0.111299896,0.669951923,0.669951923,0.613481543
DBP,"Others, NAFL, Probable NASH, NASH",0.647503931,0.609515152,0.669889503,0.190918828,0.180498168,0.131152764,0.669889503,0.669889503,0.642302862
Waist to Height,"Others, NAFL, Probable NASH, NASH",0.656053459,0.669818182,0.606629834,0.201887839,0.279752753,0.082277527,0.669818182,0.669818182,0.644167158
이상지질혈증 유무,NASH,0.743421053,0.589160839,0.669811321,-0.264231795,-0.187748859,-0.251367475,0.743421053,0.669811321,0.667464404
Spleen (Volume),"NAFL, Probable NASH, NASH",0.610062893,0.54174397,0.669480519,0.065551002,0.070914265,0.14048663,0.669480519,0.669480519,0.607095794
